Voter ID,Age,Income,Employment Status,Sex,Marital Status,Education Level,State of Residence,Ethnicity,Region,Political Ideology,Registered Citizen Status,Sexuality,Military Status,Amount of Children,Likelihood to Vote,Income Bracket,Government Trust,Physical Health,Mental Health,Religion,Gun Possession Status
Democrat,61,140000,Student,Female,Divorced,Bachelor's Degree,Indiana,Asian,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,5,Undecided,Low,Distrustful,Excellent,Fair,Christian,Possessor
Democrat,26,95000,Student,Female,Divorced,Doctoral Degree,Virginia,Black,South,Liberal,Registered,Heterosexual,Non-Veteran,1,Undecided,Middle,Distrustful,Fair,Excellent,Christian,Non-Possessor
Democrat,77,65000,Retired,Female,Widowed,Master's Degree,Rhode Island,Asian,Northeast,Progressive,Registered,Heterosexual,Non-Veteran,1,Likely,Middle,Neutral,Fair,Good,Christian,Non-Possessor
Republican,52,65000,Unemployed,Male,Divorced,High School,Delaware,Other,South,Centrist,Registered,Heterosexual,Non-Veteran,4,Likely,High,Distrustful,Excellent,Good,Hindu,Non-Possessor
Democrat,68,240000,Self-employed,Male,Single,Bachelor's Degree,Hawaii,Other,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,4,Undecided,High,Neutral,Poor,Poor,Muslim,Non-Possessor
Democrat,41,110000,Employed,Male,Widowed,Doctoral Degree,Massachusetts,Other,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,1,Likely,Low,Neutral,Good,Excellent,Muslim,Possessor
Republican,20,145000,Retired,Female,Married,Associate Degree,Alaska,White,Unknown,Conservative,Registered,Heterosexual,Veteran,1,Likely,Middle,Trustful,Excellent,Excellent,Christian,Non-Possessor
Republican,34,220000,Employed,Female,Single,High School,North Dakota,Asian,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,4,Undecided,Middle,Neutral,Fair,Fair,Christian,Non-Possessor
Democrat,32,285000,Employed,Male,Widowed,Bachelor's Degree,Colorado,Hispanic,Unknown,Socialist,Registered,Gay,Non-Veteran,1,Unlikely,Low,Trustful,Good,Excellent,Christian,Non-Possessor
Democrat,52,75000,Self-employed,Female,Single,Bachelor's Degree,Arkansas,White,South,Centrist,Registered,Heterosexual,Non-Veteran,1,Unlikely,Low,Trustful,Poor,Good,Christian,Non-Possessor
Democrat,21,140000,Student,Male,Single,Master's Degree,Pennsylvania,Other,Northeast,Conservative,Registered,Gay,Non-Veteran,1,Unlikely,High,Trustful,Poor,Good,Hindu,Non-Possessor
Democrat,50,290000,Unemployed,Female,Divorced,Bachelor's Degree,South Carolina,White,South,Socialist,Registered,Heterosexual,Veteran,5,Likely,Middle,Trustful,Good,Poor,Jewish,Non-Possessor
Republican,79,280000,Employed,Male,Married,High School,Connecticut,Black,Northeast,Socialist,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Trustful,Excellent,Excellent,Christian,Non-Possessor
Republican,52,240000,Employed,Female,Married,Bachelor's Degree,New Jersey,White,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,1,Undecided,Low,Distrustful,Fair,Excellent,Christian,Non-Possessor
Democrat,36,245000,Student,Male,Married,Doctoral Degree,New York,Asian,Northeast,Socialist,Registered,Heterosexual,Non-Veteran,1,Unlikely,High,Neutral,Fair,Poor,Hindu,Non-Possessor
Republican,73,300000,Self-employed,Female,Married,Bachelor's Degree,Missouri,Hispanic,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,4,Unlikely,Low,Distrustful,Fair,Fair,Christian,Non-Possessor
Democrat,66,215000,Self-employed,Male,Single,High School,Connecticut,Black,Northeast,Liberal,Registered,Heterosexual,Non-Veteran,2,Likely,Low,Trustful,Poor,Good,Christian,Non-Possessor
Republican,32,260000,Self-employed,Male,Divorced,Master's Degree,Maryland,Hispanic,South,Liberal,Registered,Heterosexual,Non-Veteran,3,Likely,High,Trustful,Good,Fair,Christian,Non-Possessor
Democrat,18,55000,Student,Female,Married,Associate Degree,Montana,Hispanic,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,High,Neutral,Poor,Poor,Christian,Possessor
Democrat,58,85000,Student,Male,Divorced,Doctoral Degree,New Jersey,Hispanic,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,0,Likely,Low,Trustful,Poor,Excellent,Christian,Possessor
Democrat,23,30000,Unemployed,Male,Single,High School,Nevada,Hispanic,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Unlikely,Low,Neutral,Fair,Excellent,Christian,Non-Possessor
Democrat,54,70000,Self-employed,Male,Widowed,Doctoral Degree,Kansas,Black,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Distrustful,Poor,Excellent,Muslim,Non-Possessor
Democrat,20,200000,Retired,Male,Widowed,Associate Degree,Delaware,White,South,Socialist,Registered,Gay,Non-Veteran,2,Unlikely,High,Distrustful,Poor,Fair,Hindu,Possessor
Democrat,20,320000,Employed,Non-Binary,Widowed,Master's Degree,West Virginia,Other,South,Libertarian,Registered,Gay,Non-Veteran,5,Unlikely,Low,Trustful,Fair,Good,Christian,Non-Possessor
Republican,66,125000,Retired,Male,Married,Master's Degree,Louisiana,White,South,Centrist,Registered,Heterosexual,Non-Veteran,1,Likely,Low,Neutral,Good,Excellent,Hindu,Non-Possessor
Democrat,63,30000,Unemployed,Female,Single,Bachelor's Degree,Kansas,Asian,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,2,Likely,Low,Distrustful,Poor,Excellent,Muslim,Non-Possessor
Republican,41,45000,Self-employed,Male,Married,High School,Missouri,Other,Midwest,Centrist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Distrustful,Poor,Good,Christian,Non-Possessor
Republican,41,220000,Retired,Female,Married,Master's Degree,Michigan,Hispanic,Midwest,Conservative,Registered,Heterosexual,Non-Veteran,5,Unlikely,High,Trustful,Excellent,Excellent,Hindu,Possessor
Democrat,28,55000,Unemployed,Female,Widowed,Bachelor's Degree,Montana,Other,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,0,Undecided,High,Trustful,Good,Good,Christian,Non-Possessor
Democrat,32,190000,Retired,Female,Married,Bachelor's Degree,Pennsylvania,Hispanic,Northeast,Liberal,Registered,Gay,Non-Veteran,1,Undecided,Middle,Neutral,Fair,Fair,Muslim,Non-Possessor
Democrat,43,120000,Student,Female,Single,High School,Mississippi,Other,South,Progressive,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Neutral,Poor,Excellent,Christian,Non-Possessor
Democrat,30,95000,Employed,Female,Widowed,High School,Massachusetts,Black,Northeast,Liberal,Registered,Heterosexual,Non-Veteran,1,Likely,Low,Trustful,Good,Excellent,Christian,Non-Possessor
Democrat,29,155000,Self-employed,Male,Widowed,Master's Degree,Washington,Black,West Coast,Centrist,Registered,Heterosexual,Non-Veteran,4,Likely,Low,Trustful,Fair,Good,Christian,Possessor
Republican,65,45000,Retired,Male,Divorced,Bachelor's Degree,Arizona,Asian,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,2,Unlikely,High,Distrustful,Fair,Good,Christian,Possessor
Republican,46,300000,Retired,Male,Married,Bachelor's Degree,Virginia,Black,South,Conservative,Registered,Heterosexual,Non-Veteran,2,Unlikely,Middle,Distrustful,Poor,Good,Muslim,Non-Possessor
Democrat,49,270000,Employed,Male,Widowed,Bachelor's Degree,Nevada,Other,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,2,Undecided,Low,Trustful,Good,Fair,Christian,Non-Possessor
Democrat,45,145000,Self-employed,Male,Divorced,Bachelor's Degree,Louisiana,Asian,South,Centrist,Registered,Heterosexual,Non-Veteran,3,Unlikely,Middle,Neutral,Good,Good,Hindu,Non-Possessor
Democrat,63,335000,Unemployed,Male,Divorced,Associate Degree,Kentucky,Black,South,Centrist,Registered,Heterosexual,Non-Veteran,1,Unlikely,Low,Trustful,Good,Excellent,Jewish,Non-Possessor
Democrat,25,200000,Self-employed,Male,Single,Associate Degree,Alaska,Other,Unknown,Socialist,Registered,Gay,Non-Veteran,3,Unlikely,High,Trustful,Good,Fair,Jewish,Non-Possessor
Democrat,62,130000,Employed,Female,Divorced,Bachelor's Degree,Oregon,Other,West Coast,Socialist,Registered,Heterosexual,Non-Veteran,3,Unlikely,High,Distrustful,Good,Good,Muslim,Possessor
Republican,74,75000,Retired,Female,Widowed,Master's Degree,West Virginia,Other,South,Conservative,Registered,Heterosexual,Non-Veteran,5,Undecided,Low,Trustful,Good,Fair,Christian,Non-Possessor
Republican,55,110000,Student,Non-Binary,Divorced,Associate Degree,Utah,White,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,5,Unlikely,Low,Distrustful,Good,Good,Christian,Non-Possessor
Democrat,75,340000,Unemployed,Male,Single,Bachelor's Degree,Wyoming,Hispanic,Unknown,Centrist,Registered,Heterosexual,Non-Veteran,2,Undecided,Middle,Neutral,Excellent,Poor,Christian,Non-Possessor
Republican,29,245000,Self-employed,Female,Divorced,Doctoral Degree,West Virginia,Black,South,Libertarian,Registered,Heterosexual,Non-Veteran,5,Unlikely,Middle,Trustful,Poor,Good,Christian,Non-Possessor
Democrat,35,15000,Student,Male,Widowed,High School,South Dakota,White,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Neutral,Poor,Poor,Jewish,Non-Possessor
Democrat,18,90000,Self-employed,Female,Divorced,Bachelor's Degree,New Hampshire,White,Northeast,Liberal,Registered,Heterosexual,Non-Veteran,1,Unlikely,High,Neutral,Excellent,Fair,Christian,Non-Possessor
Democrat,57,50000,Student,Female,Single,High School,Mississippi,Hispanic,South,Liberal,Registered,Heterosexual,Non-Veteran,2,Likely,Middle,Distrustful,Poor,Excellent,Christian,Non-Possessor
Republican,68,340000,Student,Male,Married,Bachelor's Degree,Mississippi,White,South,Progressive,Registered,Heterosexual,Non-Veteran,3,Unlikely,High,Neutral,Good,Good,Christian,Possessor
Democrat,65,165000,Self-employed,Female,Married,Doctoral Degree,Connecticut,Other,Northeast,Centrist,Registered,Heterosexual,Non-Veteran,0,Undecided,Low,Trustful,Good,Fair,Jewish,Non-Possessor
Democrat,49,190000,Student,Male,Widowed,Bachelor's Degree,Illinois,Asian,Midwest,Libertarian,Registered,Heterosexual,Non-Veteran,3,Unlikely,Low,Trustful,Excellent,Fair,Hindu,Non-Possessor
Democrat,33,90000,Student,Female,Widowed,Master's Degree,Utah,Black,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,0,Likely,Low,Neutral,Fair,Excellent,Jewish,Non-Possessor
Democrat,64,140000,Unemployed,Female,Divorced,Bachelor's Degree,Utah,Black,Unknown,Conservative,Registered,Heterosexual,Non-Veteran,0,Likely,Middle,Distrustful,Good,Fair,Hindu,Non-Possessor
Democrat,37,285000,Student,Female,Divorced,Doctoral Degree,New Mexico,White,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,3,Unlikely,Middle,Distrustful,Good,Fair,Christian,Non-Possessor
Republican,66,240000,Unemployed,Male,Divorced,High School,Pennsylvania,White,Northeast,Conservative,Registered,Gay,Non-Veteran,4,Likely,Middle,Trustful,Excellent,Poor,Hindu,Non-Possessor
Republican,51,200000,Unemployed,Male,Widowed,Master's Degree,Maine,Hispanic,Northeast,Conservative,Registered,Heterosexual,Non-Veteran,2,Undecided,High,Neutral,Good,Fair,Christian,Possessor
Democrat,48,220000,Retired,Female,Divorced,Doctoral Degree,Kentucky,Black,South,Progressive,Registered,Gay,Non-Veteran,0,Unlikely,Low,Distrustful,Excellent,Excellent,Muslim,Non-Possessor
Democrat,68,285000,Retired,Male,Widowed,Master's Degree,Idaho,Asian,Unknown,Liberal,Registered,Gay,Non-Veteran,1,Undecided,Low,Trustful,Excellent,Fair,Hindu,Non-Possessor
Democrat,70,195000,Self-employed,Female,Married,Doctoral Degree,Connecticut,Asian,Northeast,Socialist,Registered,Heterosexual,Non-Veteran,2,Unlikely,Middle,Neutral,Poor,Good,Christian,Non-Possessor
Republican,51,60000,Employed,Non-Binary,Divorced,High School,Connecticut,White,Northeast,Progressive,Registered,Heterosexual,Non-Veteran,0,Unlikely,Middle,Neutral,Fair,Good,Christian,Possessor
Republican,64,25000,Self-employed,Female,Married,High School,Texas,White,South,Libertarian,Registered,Heterosexual,Veteran,4,Unlikely,High,Neutral,Poor,Poor,Christian,Possessor
Democrat,48,135000,Self-employed,Non-Binary,Divorced,Bachelor's Degree,Colorado,Other,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,5,Likely,Middle,Trustful,Excellent,Poor,Christian,Possessor
Democrat,40,80000,Employed,Female,Divorced,Doctoral Degree,Oklahoma,Hispanic,South,Libertarian,Registered,Heterosexual,Non-Veteran,3,Undecided,Middle,Trustful,Poor,Fair,Christian,Non-Possessor
Republican,66,220000,Self-employed,Female,Divorced,Bachelor's Degree,New Mexico,White,Unknown,Libertarian,Registered,Heterosexual,Non-Veteran,0,Undecided,Middle,Trustful,Fair,Good,Christian,Non-Possessor
Democrat,78,80000,Self-employed,Male,Single,Associate Degree,Oklahoma,White,South,Conservative,Registered,Heterosexual,Non-Veteran,3,Likely,Low,Neutral,Poor,Poor,Jewish,Non-Possessor
Democrat,33,180000,Retired,Female,Single,Doctoral Degree,Oregon,Black,West Coast,Conservative,Registered,Heterosexual,Non-Veteran,3,Likely,High,Neutral,Good,Excellent,Christian,Non-Possessor
Democrat,26,30000,Student,Male,Single,High School,Idaho,Other,Unknown,Socialist,Registered,Heterosexual,Non-Veteran,4,Likely,Low,Trustful,Fair,Good,Christian,Non-Possessor
Republican,60,320000,Employed,Female,Widowed,Associate Degree,Arkansas,Hispanic,South,Centrist,Registered,Heterosexual,Non-Veteran,2,Likely,Low,Distrustful,Good,Fair,Christian,Non-Possessor
Democrat,27,215000,Employed,Female,Divorced,Master's Degree,Pennsylvania,Hispanic,Northeast,Socialist,Registered,Heterosexual,Veteran,3,Likely,High,Trustful,Excellent,Poor,Christian,Possessor
Democrat,52,160000,Student,Female,Single,Associate Degree,Florida,White,South,Centrist,Registered,Heterosexual,Non-Veteran,0,Likely,Middle,Neutral,Good,Fair,Muslim,Possessor
Democrat,59,280000,Self-employed,Female,Married,Bachelor's Degree,Kentucky,Other,South,Socialist,Registered,Heterosexual,Non-Veteran,3,Undecided,Low,Trustful,Poor,Excellent,Christian,Non-Possessor
Democrat,23,320000,Retired,Female,Divorced,Doctoral Degree,Louisiana,Black,South,Socialist,Registered,Heterosexual,Non-Veteran,1,Undecided,Low,Trustful,Excellent,Excellent,Christian,Non-Possessor
Democrat,30,25000,Student,Female,Divorced,Bachelor's Degree,Idaho,Hispanic,Unknown,Liberal,Registered,Heterosexual,Non-Veteran,2,Undecided,Low,Distrustful,Poor,Excellent,Christian,Non-Possessor
Democrat,62,295000,Employed,Female,Married,Bachelor's Degree,New York,Hispanic,Northeast,Progressive,Registered,Heterosexual,Non-Veteran,2,Likely,High,Trustful,Excellent,Excellent,Muslim,Non-Possessor
Democrat,34,205000,Unemployed,Female,Single,Master's Degree,Idaho,White,Unknown,Socialist,Registered,Gay,Non-Veteran,0,Undecided,Low,Neutral,Fair,Poor,Hindu,Possessor
Republican,25,235000,Unemployed,Male,Married,Bachelor's Degree,Wyoming,White,Unknown,Progressive,Registered,Heterosexual,Non-Veteran,4,Undecided,Middle,Distrustful,Poor,Fair,Christian,Possessor
